Entries with no synopsis (NEEDS_MANUAL) — 274 entries
Place new synopsis in: data/cleaned/{ID}.txt

ID         Title                                         Author                       Medium      
POD_003    Somebody Knows Something: S1                  CBC / David Ridgen           Podcast     
POD_006    Somebody Knows Something: S2                  CBC / David Ridgen           Podcast     
POD_013    Somebody Knows Something: S3                  CBC / David Ridgen           Podcast     
POD_021    The Teacher's Pet                             Hedley Thomas                Podcast     
POD_007    Up and Vanished: Season 1                     Payne Lindsey                Podcast     
POD_022    Up and Vanished: Season 2                     Payne Lindsey                Podcast     
POD_032    Your Own Backyard                             Chris Lambert                Podcast     
SHO_022    Double Sin                                    Agatha Christie              Short Story 
SHO_019    Sanctuary                                     Agatha Christie              Short Story 
SHO_018    Strange Jest                                  Agatha Christie              Short Story 
SHO_020    The Adventure of the Christmas Pudding        Agatha Christie              Short Story 
SHO_021    The Mystery of the Spanish Chest              Agatha Christie              Short Story 
SHO_017    The Tape-Measure Murder                       Agatha Christie              Short Story 
TVE_164    A Good Girl's Guide to Murder (TV series)     Holly Jackson                TV Episode  
TVE_032    Beck: Season 1                                Various                      TV Episode  
TVE_053    Bones (season 1)                              Hart Hanson                  TV Episode  
TVE_059    Bones (season 2)                              Hart Hanson                  TV Episode  
TVE_064    Bones (season 3)                              Hart Hanson                  TV Episode  
TVE_095    Broadchurch: Season 1                         James Strong                 TV Episode  
TVE_112    Broadchurch: Season 2                         James Strong                 TV Episode  
TVE_121    Broadchurch: Season 3                         Paul Andrew Williams         TV Episode  
TVE_003    Columbo: A Friend in Deed                     Ben Gazzara                  TV Episode  
TVE_021    Columbo: Agenda for Murder                    Patrick McGoohan             TV Episode  
TVE_002    Columbo: Any Old Port in a Storm              Leo Penn                     TV Episode  
TVE_026    Columbo: Caution: Murder Can Be Hazardous to  Daryl Duke                   TV Episode  
TVE_022    Columbo: Columbo Goes to College              E.W. Swackhamer              TV Episode  
TVE_010    Columbo: How to Dial a Murder                 James Frawley                TV Episode  
TVE_005    Columbo: Identity Crisis                      Patrick McGoohan             TV Episode  
TVE_007    Columbo: Last Salute to the Commodore         Patrick McGoohan             TV Episode  
TVE_011    Columbo: Murder Under Glass                   Jonathan Demme               TV Episode  
TVE_001    Columbo: Murder by the Book                   Steven Spielberg             TV Episode  
TVE_008    Columbo: Now You See Him                      Harvey Hart                  TV Episode  
TVE_004    Columbo: Publish or Perish                    Robert Butler                TV Episode  
TVE_012    Columbo: The Conspirators                     Leo Penn                     TV Episode  
TVE_006    Columbo: Troubled Waters                      Ben Gazzara                  TV Episode  
TVE_009    Columbo: Try and Catch Me                     James Frawley                TV Episode  
TVE_122    Dark: Season 1                                Baran bo Odar                TV Episode  
TVE_135    Dark: Season 2                                Baran bo Odar                TV Episode  
TVE_145    Dark: Season 3                                Baran bo Odar                TV Episode  
TVE_090    Elementary (season 1)                         Robert Doherty               TV Episode  
TVE_096    Elementary (season 2)                         Robert Doherty               TV Episode  
TVE_102    Elementary (season 3)                         Robert Doherty               TV Episode  
TVE_131    Endeavour: Canticle                           Shaun Evans                  TV Episode  
TVE_103    Endeavour: Trove                              Shaun Evans                  TV Episode  
TVE_104    Happy Valley: Series 1                        Sally Wainwright             TV Episode  
TVE_116    Happy Valley: Series 2                        Sally Wainwright             TV Episode  
TVE_160    Happy Valley: Series 3                        Sally Wainwright             TV Episode  
TVE_065    Lewis: Reputation                             Bill Anderson                TV Episode  
TVE_068    Lewis: The Gift of Promise                    Bill Anderson                TV Episode  
TVE_091    Line of Duty: Series 1                        David Caffrey                TV Episode  
TVE_105    Line of Duty: Series 2                        Peter Travis                 TV Episode  
TVE_117    Line of Duty: Series 3                        John Strickland              TV Episode  
TVE_123    Line of Duty: Series 4                        Douglas Mackinnon            TV Episode  
TVE_136    Line of Duty: Series 5                        John Strickland              TV Episode  
TVE_148    Line of Duty: Series 6                        Gareth Bryn                  TV Episode  
TVE_149    Lupin: Part 1                                 Louis Leterrier              TV Episode  
TVE_150    Lupin: Part 2                                 Hugo Gélin                   TV Episode  
TVE_161    Lupin: Part 3                                 Various                      TV Episode  
TVE_151    Mare of Easttown                              Craig Zobel                  TV Episode  
TVE_066    Midsomer Murders (series 10)                  Various                      TV Episode  
TVE_044    Midsomer Murders (series 6)                   Various                      TV Episode  
TVE_048    Midsomer Murders (series 7)                   Various                      TV Episode  
TVE_054    Midsomer Murders (series 8)                   Various                      TV Episode  
TVE_060    Midsomer Murders (series 9)                   Various                      TV Episode  
TVE_034    Midsomer Murders: Blue Herrings               Richard Holthouse            TV Episode  
TVE_037    Midsomer Murders: Dead Man's Eleven           Moira Armstrong              TV Episode  
TVE_035    Midsomer Murders: Death's Shadow              Peter Smith                  TV Episode  
TVE_033    Midsomer Murders: The Killings at Badger's D  Jeremy Silberston            TV Episode  
TVE_036    Midsomer Murders: Written in Blood            Jeremy Silberston            TV Episode  
TVE_124    Mindhunter: Season 1                          Various                      TV Episode  
TVE_137    Mindhunter: Season 2                          Various                      TV Episode  
TVE_015    Miss Marple: 4:50 from Paddington             Martyn Friend                TV Episode  
TVE_020    Miss Marple: A Caribbean Mystery              Christopher Petit            TV Episode  
TVE_014    Miss Marple: A Murder Is Announced            John Madden                  TV Episode  
TVE_016    Miss Marple: At Bertram's Hotel               Mary McMurray                TV Episode  
TVE_013    Miss Marple: Body in the Library              Silvio Narizzano             TV Episode  
TVE_017    Miss Marple: Nemesis                          David Tucker                 TV Episode  
TVE_125    Money Heist: Season 1                         Álex Pina                    TV Episode  
TVE_126    Money Heist: Season 2                         Álex Pina                    TV Episode  
TVE_043    Monk (season 1)                               Andy Breckman                TV Episode  
TVE_045    Monk (season 2)                               Andy Breckman                TV Episode  
TVE_049    Monk (season 3)                               Andy Breckman                TV Episode  
TVE_027    Morse: Promised Land                          John Madden                  TV Episode  
TVE_018    Morse: The Dead of Jericho                    Alastair Reid                TV Episode  
TVE_031    Morse: The Way Through the Woods              John Madden                  TV Episode  
TVE_019    Morse: The Wolvercote Tongue                  Alastair Reid                TV Episode  
TVE_069    Murdoch Mysteries (season 1)                  Cal Coons                    TV Episode  
TVE_078    Murdoch Mysteries (season 2)                  Cal Coons                    TV Episode  
TVE_080    Murdoch Mysteries (season 3)                  Cal Coons                    TV Episode  
TVE_138    Nancy Drew (TV series) season 1               Noga Landau                  TV Episode  
TVE_152    Nancy Drew (TV series) season 2               Noga Landau                  TV Episode  
TVE_153    Only Murders in the Building: S1              Various                      TV Episode  
TVE_158    Only Murders in the Building: S2              Various                      TV Episode  
TVE_162    Only Murders in the Building: S3              Various                      TV Episode  
TVE_061    Poirot: After the Funeral                     Maurice Phillips             TV Episode  
TVE_070    Poirot: Appointment with Death                Ashley Pearce                TV Episode  
TVE_055    Poirot: Cards on the Table                    Sarah Harding                TV Episode  
TVE_071    Poirot: Cat Among the Pigeons                 James Kent                   TV Episode  
TVE_097    Poirot: Curtain                               Hettie Macdonald             TV Episode  
TVE_050    Poirot: Death on the Nile                     Andy Wilson                  TV Episode  
TVE_098    Poirot: Elephants Can Remember                John Strickland              TV Episode  
TVE_041    Poirot: Evil Under the Sun                    Brian Farnham                TV Episode  
TVE_046    Poirot: Five Little Pigs                      Paul Unwin                   TV Episode  
TVE_039    Poirot: Lord Edgware Dies                     Brian Farnham                TV Episode  
TVE_072    Poirot: Mrs McGinty's Dead                    Gary Fleder                  TV Episode  
TVE_081    Poirot: Murder on the Orient Express          Philip Martin                TV Episode  
TVE_023    Poirot: Peril at End House                    Renny Rye                    TV Episode  
TVE_047    Poirot: Sad Cypress                           David Moore                  TV Episode  
TVE_029    Poirot: The ABC Murders                       Andrew Grieve                TV Episode  
TVE_030    Poirot: The Big Four                          Andrew Grieve                TV Episode  
TVE_051    Poirot: The Hollow                            Simon Langton                TV Episode  
TVE_024    Poirot: The Mysterious Affair at Styles       Ross Devenish                TV Episode  
TVE_082    Poirot: Three Act Tragedy                     Ashley Pearce                TV Episode  
TVE_163    Poker Face: Season 1                          Rian Johnson                 TV Episode  
TVE_139    Prodigal Son (season 1)                       Chris Fedak                  TV Episode  
TVE_154    Prodigal Son (season 2)                       Chris Fedak                  TV Episode  
TVE_062    Psych (season 1)                              Steve Franks                 TV Episode  
TVE_067    Psych (season 2)                              Steve Franks                 TV Episode  
TVE_073    Psych (season 3)                              Steve Franks                 TV Episode  
TVE_083    Sherlock: A Study in Pink                     Paul McGuigan                TV Episode  
TVE_106    Sherlock: His Last Vow                        Nick Hurran                  TV Episode  
TVE_084    Sherlock: The Great Game                      Paul McGuigan                TV Episode  
TVE_092    Sherlock: The Hounds of Baskerville           Paul McGuigan                TV Episode  
TVE_127    Sherlock: The Lying Detective                 Nick Hurran                  TV Episode  
TVE_099    Shetland (series 1)                           Ann Cleeves                  TV Episode  
TVE_107    Shetland (series 2)                           Ann Cleeves                  TV Episode  
TVE_118    Shetland (series 3)                           Ann Cleeves                  TV Episode  
TVE_132    Shetland (series 4)                           Ann Cleeves                  TV Episode  
TVE_140    Shetland (series 5)                           Ann Cleeves                  TV Episode  
TVE_056    Spiral: Series 1                              Various                      TV Episode  
TVE_074    Spiral: Series 2                              Various                      TV Episode  
TVE_085    Spiral: Series 3                              Various                      TV Episode  
TVE_093    Spiral: Series 4                              Various                      TV Episode  
TVE_108    Spiral: Series 5                              Various                      TV Episode  
TVE_119    Spiral: Series 6                              Various                      TV Episode  
TVE_146    Spiral: Series 7                              Various                      TV Episode  
TVE_155    Spiral: Series 8                              Various                      TV Episode  
TVE_141    Stumptown (TV series)                         Jason Richman                TV Episode  
TVE_087    The Bridge (Swedish): Season 1                Various                      TV Episode  
TVE_100    The Bridge (Swedish): Season 2                Various                      TV Episode  
TVE_113    The Bridge (Swedish): Season 3                Various                      TV Episode  
TVE_101    The Fall (series 1)                           Allan Cubitt                 TV Episode  
TVE_109    The Fall (series 2)                           Allan Cubitt                 TV Episode  
TVE_120    The Fall (series 3)                           Allan Cubitt                 TV Episode  
TVE_042    The Inspector Lynley Mysteries                Elizabeth George             TV Episode  
TVE_088    The Killing: Season 1                         Various                      TV Episode  
TVE_094    The Killing: Season 2                         Various                      TV Episode  
TVE_165    The Marlow Murder Club (TV series)            Robert Thorogood             TV Episode  
TVE_128    The Sinner: Season 1                          Various                      TV Episode  
TVE_133    The Sinner: Season 2                          Various                      TV Episode  
TVE_147    The Sinner: Season 3                          Various                      TV Episode  
TVE_110    True Detective: Season 1                      Cary Fukunaga                TV Episode  
TVE_114    True Detective: Season 2                      Various                      TV Episode  
TVE_142    True Detective: Season 3                      Various                      TV Episode  
TVE_166    True Detective: Season 4                      Various                      TV Episode  
TVE_025    Twin Peaks: Season 1                          Various                      TV Episode  
TVE_028    Twin Peaks: Season 2                          Various                      TV Episode  
TVE_143    Unbelievable (miniseries)                     Susannah Grant               TV Episode  
TVE_115    Unforgotten: Series 1                         Andy Wilson                  TV Episode  
TVE_130    Unforgotten: Series 2                         Andy Wilson                  TV Episode  
TVE_134    Unforgotten: Series 3                         Andy Wilson                  TV Episode  
TVE_157    Unforgotten: Series 4                         Andy Wilson                  TV Episode  
TVE_111    Vera: A Dark Adaptaton                        Andy Hay                     TV Episode  
TVE_089    Vera: Hidden Depths                           Peter Hoar                   TV Episode  
TVE_058    Wallander (Swedish): Season 1                 Various                      TV Episode  
TVE_079    Wallander (Swedish): Season 2                 Various                      TV Episode  
TVE_075    Wallander: Firewall                           Philip Martin                TV Episode  
TVE_076    Wallander: One Step Behind                    Philip Martin                TV Episode  
TVE_077    Wallander: Sidetracked                        Philip Martin                TV Episode  
TVE_086    Wallander: The Fifth Woman                    Philip Martin                TV Episode  
